SYMBOL,EXCHANGE,SERIES,ISIN,DATE,CMP,OPEN,HIGH,LOW,PREV_CLOSE,CHANGE_PCT,VWAP,VOLUME,TURNOVER,AVG_VOL_20D,VOL_SPIKE_RATIO,DELIV_PER,EMA_50,EMA_200,DIST_FROM_EMA50_PCT,DIST_FROM_EMA200_PCT,EMA_GOLDEN_CROSS,RSI_14,HIGH_52W,LOW_52W,DIST_FROM_52W_HIGH_PCT,DIST_FROM_52W_LOW_PCT,DAYS_OF_HISTORY,RETURN_1D_PCT,RETURN_1W_PCT,RETURN_1M_PCT,RETURN_3M_PCT,RETURN_6M_PCT,RETURN_1Y_PCT,IS_SME
DDEVPLSTIK,NSE,EQ,INE0HR601026,2026-07-22,278.65,286.55,286.95,278.0,286.55,-2.76,280.16,84131,23569830.25,142901.0,0.59,,268.18,273.46,3.9,1.9,False,52.02,350.7,189.35,-20.54,47.16,215,-2.76,-4.36,0.95,16.79,-1.28,,False
DECCANCE,NSE,EQ,INE583C01021,2026-07-22,564.15,570.0,574.0,562.25,574.1,-1.73,567.58,4660,2644931.3,16737.0,0.28,,591.94,717.64,-4.69,-21.39,False,41.72,1139.8,545.4,-50.5,3.44,215,-1.73,-0.82,-2.27,-14.46,-17.36,,False
DECCANTRAN,NSE,SM,INE0S7C01019,2026-07-21,22.0,21.9,22.5,21.9,21.9,0.46,22.28,9600,213900.0,9600.0,1.0,,21.94,25.77,0.28,-14.63,False,50.91,38.05,16.6,-42.18,32.53,184,0.46,4.76,-7.56,8.64,-23.48,,True
DECNGOLD,NSE,EQ,INE945F01025,2026-07-22,185.79,192.0,193.35,185.0,191.52,-2.99,187.28,914126,171194823.2,2314896.0,0.39,,179.16,144.18,3.7,28.86,True,46.32,227.51,116.44,-18.34,59.56,65,-2.99,-7.15,-18.34,57.85,,,False
DEEDEV,NSE,BE,INE841L01016,2026-07-22,667.05,679.9,680.0,649.5,680.1,-1.92,662.58,78004,51683663.2,94700.0,0.82,,622.76,425.52,7.11,56.76,True,49.25,738.75,184.78,-9.71,261.0,215,-1.92,-7.27,-1.49,63.53,212.6,,False
DEEM,NSE,ST,INE586O01011,2026-07-22,52.65,53.0,53.0,52.65,55.4,-4.96,52.82,2000,105650.0,3650.0,0.55,,48.91,47.64,7.64,10.51,True,52.01,61.5,29.65,-14.39,77.57,178,-4.96,0.77,9.69,69.84,12.14,,True
DEEPAKFERT,NSE,EQ,INE501A01019,2026-07-22,1598.9,1600.0,1628.2,1593.7,1606.7,-0.49,1606.14,145306,233381300.1,268046.0,0.54,,1485.68,1335.32,7.62,19.74,True,57.64,1664.3,872.1,-3.93,83.34,215,-0.49,3.23,-0.23,26.26,30.58,,False
DEEPAKNTR,NSE,EQ,INE288B01029,2026-07-22,1696.0,1704.1,1716.0,1681.5,1708.3,-0.72,1698.74,95795,162731125.4,199161.0,0.48,,1655.23,1652.58,2.46,2.63,True,55.62,1875.9,1286.8,-9.59,31.8,215,-0.72,-0.06,1.47,3.11,7.94,,False
DEEPINDS,NSE,EQ,INE0FHS01024,2026-07-22,469.5,475.5,481.0,459.8,470.55,-0.22,470.23,241413,113519484.3,157173.0,1.54,,469.69,463.99,-0.04,1.19,True,49.32,548.95,331.55,-14.47,41.61,215,-0.22,2.34,-4.34,-0.98,24.21,,False
DEFENCE,NSE,EQ,INF769K01QC2,2026-07-22,78.64,79.46,79.46,78.3,78.83,-0.24,78.61,172753,13580620.62,217183.0,0.8,,76.79,71.63,2.41,9.78,True,53.48,80.71,59.66,-2.56,31.81,102,-0.24,1.03,-2.56,8.56,,,False
DELAPLEX,NSE,SM,INE0SK801018,2026-07-21,98.0,98.0,98.0,98.0,98.0,0.0,98.0,1200,117600.0,5490.0,0.22,,104.65,115.68,-6.35,-15.28,False,43.58,184.65,82.1,-46.93,19.37,208,0.0,-1.61,-4.85,-5.77,-24.62,,True
DELHIVERY,NSE,EQ,INE148O01028,2026-07-22,467.6,483.2,484.1,465.55,484.75,-3.54,471.0,3790074,1785131031.3,6989027.0,0.54,,476.46,454.49,-1.86,2.88,True,40.49,520.3,378.5,-10.13,23.54,215,-3.54,-6.17,-3.35,-0.94,17.83,,False
DELPH-RE,NSE,BE,INE726L20019,2025-11-03,8.85,8.35,9.27,8.35,9.28,-4.63,8.55,75383,644705.12,44184.0,1.71,,27.38,29.85,-67.67,-70.35,False,,30.75,8.85,-71.22,0.0,6,-4.63,-71.22,,,,,False
DELPHIFX,NSE,BE,INE726L01027,2026-07-22,6.84,6.21,6.85,6.21,6.53,4.75,6.33,766486,4853168.13,323977.0,2.37,,12.06,84.54,-43.3,-91.91,False,28.6,253.05,6.53,-97.3,4.75,215,4.75,-14.61,-19.15,-48.38,-97.2,,False
DELTACORP,NSE,EQ,INE124G01033,2026-07-22,62.86,63.88,64.19,62.6,63.46,-0.95,63.34,933010,59098910.08,2513269.0,0.37,,65.69,68.93,-4.31,-8.81,False,41.61,84.91,49.34,-25.97,27.4,215,-0.95,-3.23,-5.62,1.91,-9.32,,False
DELTAMAGNT,NSE,EQ,INE393A01011,2026-07-22,58.26,58.15,62.7,57.0,58.15,0.19,58.35,2276,132806.8,2065.0,1.1,,60.02,65.79,-2.93,-11.45,False,43.18,89.86,46.2,-35.17,26.1,215,0.19,-1.22,-6.02,-7.8,-13.28,,False
DELTIC,NSE,ST,INE0XRN01019,2026-07-22,34.65,33.0,34.65,33.0,33.0,5.0,34.1,16000,545550.0,16950.0,0.94,,35.94,44.18,-3.6,-21.58,False,50.64,69.6,28.45,-50.22,21.79,214,5.0,0.29,1.91,-25.16,-23.68,,True
